SMILES,Activity binary
O=Cc1ccccc1,0
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,0
CC(C)Nc1ccc(Nc2ccccc2)cc1,1
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)C,1
CCCCN(c1nc(N(CCCN=c2nc(N(CCCC)C3CC(C)(C)N(C)C(C)(C)C3)[nH]c(N(CCCC)C3CC(C)(C)N(C)C(C)(C)C3)n2)CCN(CCCN=c2nc(N(CCCC)C3CC(C)(C)N(C)C(C)(C)C3)[nH]c(N(CCCC)C3CC(C)(C)N(C)C(C)(C)C3)n2)c2nc(N(CCCC)C3CC(C)(C)N(C)C(C)(C)C3)nc(N(CCCC)C3CC(C)(C)N(C)C(C)(C)C3)n2)nc(N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)n1)C1CC(C)(C)N(C)C(C)(C)C1,1
NCCC(=O)O,0
CN(C)CCCN,1
CCSCCO,0
CCCCCCBr,1
OCCOCCO,0
CC(C)(CO)COC(=O)C(C)(C)CO,0
CCCCCCOCCOCCO,0
C=C1CCC(C(C)C)CC1,0
CC(O)COc1ccc(C(C)(C)c2ccc(OCC(C)O)cc2)cc1,0
Cc1cc(C)c(Nc2ccc(Nc3c(C)cc(C)cc3C)c3c2C(=O)c2ccccc2C3=O)c(C)c1,0
CN1C2CCC1CC(O)C2,1
C[N+](C)(CC[N+](C)(C)CC(O)COCC(F)(F)C(F)F)CC(O)COCC(F)(F)C(F)F,1
ClC(Cl)=C(Cl)Cl,1
CC=NC=O,0
CCCC1CC(C)(OC(C)=O)CCO1,0
CCCCCCCCOS(=O)(=O)O,0
COc1ccc(OC(=O)c2ccc(OCCCCC3CO3)cc2)cc1,1
COC(=O)c1cccc(C(=O)OC)c1,0
O=[N+]([O-])c1ncccc1O,0
CC(C)(C)C1CCC(OC(=O)OOC(=O)OC2CCC(C(C)(C)C)CC2)CC1,1
CC(C)N=C(N)N=C(N)Nc1ccc(Cl)c(Cl)c1,1
CCCCC(CC)COP(Oc1ccccc1)Oc1ccccc1,1
COc1cc(CC#N)c([N+](=O)[O-])cc1C(F)(F)F,0
Nc1cc(F)cc(-c2cccnc2)c1,1
Cc1ncccc1Oc1ccc(N)cn1,1
C=CCc1cc(OC)c(O)cc1C,1
N#CCCNCCCCCCNCCC#N,1
CCCCCCCCCCCCCCCCCCOCCC[N+](C)(C)C,1
CC(=O)c1ccc(Cc2ccc(F)cc2)o1,0
CC1(C)CC(N)CC(C)(CN)C1,1
CC(C)C1OCCN1CCO,1
CN(C)CCN(C)CCN(C)C,0
CN(C)CCOCCN(C)C,0
